"","x"
"252","PIKE:Is it? Look, first they made me protect you and then feel sympathy for you. Now we have these familiar surroundings and a comfortable husband-wife relationship. They don't need all this for just passion. What they're after is respect and mutual dependence. "
"253","VINA:They say in the olden days all this was a desert. Blowing sand and cactus. "
"254","PIKE:But we're not here, neither of us. We're in a menagerie, a cage!"
"255","VINA:No. PIKE; I can't help either one of us if you won't give me a chance. Now, you told me once they used illusions as a narcotic. They couldn't repair the machines left by their ancestors. Is that why they want us, to build a colony of slaves?"
"256","VINA:Stop it. Don't you care what they'll do to us?"
"257","PIKE:Back in my cage, it seemed for a couple of minutes that our keeper couldn't read my thoughts. Do emotions like hate, keeping hate in your mind, does that block off our mind from them?"
"258","VINA:Yes. They can't read through primitive emotions. But you can't keep it up for long enough. I've tried. They keep at you and at you year after year, tricking and punishing, and they won. They own me. I know you must hate me for that."
"259","PIKE:Oh, no. I don't hate you. I can guess what it was like."
"260","VINA:But that's not enough. Don't you see? They read my thoughts, my feelings, my dreams of what would be a perfect man. That's why they picked you. I can't help but love you and they expect you to feel the same way."
"261","PIKE:If they can read my mind, then they know I'm attracted to you. "
"262","[Talosian monitoring room] PIKE [on monitor]: I was from the very first moment I saw you in the survivor's camp. "
"263","TALOSIAN:A curious species. They have fantasies they hide even from themselves.  VINA [on monitor]: I'm beginning to see why none of this has worked for you. You've been home, and fighting as on Rigel. That's not new to you, either. A person's strongest dreams are about what he can't do. Yes, a ship's captain, always having to be so formal, so decent and honest and proper. You must wonder what it would be like to forget all that."
"264","[Open air party]"
"265","(A band plays, and a green woman dances sensuously)"
"266","OFFICER:Nice place you have here, Mister Pike."
"267","(The dancer is -)"
"268","PIKE:Vina?"
"269","ORION:Glistening green. Almost like secret dreams a bored ship captain might have. "
"270","OFFICER:Funny how they are on this planet. They actually like being taken advantage of. Suppose you had all of space to choose from, and this was only one small sample. "
"271","ORION:Wouldn't you say it was worth a man's soul?"
"272","(Pike gets up and leaves. The door he walks through turns into a rock wall. Then Vina is there, holding a blazing torch)"
"273","[Transporter room]"
"274","SPOCK:We've located a magnetic field that seems to come from their underground generator."
"275","GARISON:Could that be an illusion too? "
"276","ONE:Now, you all know the situation. We're hoping to transport down inside the Talosian community."
"277","SPOCK:If our measurements and readings are an illusion also, one could find oneself materialised inside solid rock."
"278","ONE:Nothing will be said if any volunteer wants to back out."
"279","(Pitcairn energises but only Number One and Yeoman Colt dematerialise)"
"280","SPOCK:The women!"
"281","[Pike's cage]"
"282","ONE:Captain! Captain."
"283","VINA:No! Let me finish!"
"284","ONE:But we were a party of six."
"285","COLT:We were the only ones transported."
"286","VINA:It's not fair. You don't need them."
"287","PIKE:(grabbing Colt's laser pistol) They don't work."
"288","ONE:They were fully charged when we left. It's dead. (communicator) I can't make a signal. What is it?"
"289","PIKE:Don't say anything. I'm filling my mind with a picture of beating their huge, misshapen heads to pulp, thoughts so primitive they black out everything else. I'm filling my mind with hate."
"290","VINA:How long can you block your thoughts? A few minutes, an hour? How can that help?"
"291","COLT:Leave him alone."
"292","VINA:He doesn't need you. He's already picked me."
"293","COLT:Picked her? For what? I don't understand."
"294","VINA:Now, there's a fine choice for intelligent offspring."
"295","COLT:Offspring, as in children?"
"296","ONE:Offspring as in he's Adam. Is that it?"
"297","VINA:You're no better choice. They'd have more luck crossing him with a computer."
"298","ONE:Well, shall we do a little time computation? There was a Vina listed on that expedition as an adult crewman. Now, adding eighteen years to your age then."
"299","(The Magistrate approaches the cell)"
"300","VINA:It's not fair. I did what you asked."
"301","MAGISTRATE:Since you resist the present specimen, you now have a selection."
"302","PIKE:I'll break out of this zoo somehow and get to you. Is your blood red like ours? I'm going to find out."
"303","MAGISTRATE:Each of the two new specimens has qualities in her favour. The female you call Number One has the superior mind and would produce highly intelligent children. Although she seems to lack emotion, this is largely a pretence. She has often has fantasies involving you. "
"304","PIKE:All I want to do is get my hands on you. Can you read these thoughts? Images of hate, killing?"
"305","MAGISTRATE:The other new arrival has considered you unreachable but now is realising this has changed. The factors in her favour are youth and strength, plus unusually strong female drives. "
"306","PIKE:You'll find my thoughts more interesting. Thoughts so primitive you can't understand. Emotions so ugly"
"307","(stricken by pain)"
"308","MAGISTRATE:Wrong thinking is punishable. Right thinking will be as quickly rewarded. You will find it an effective combination. "
"309","(Magistrate leaves)"
"310","ONE:Captain."
"311","PIKE:No. No, don't help me. I have to concentrate. They can't read through hate."
"312","[Bridge]"
"313","SPOCK:Address intercraft. "
"314","GARISON:Open, sir. "
"315","SPOCK:This is the acting captain speaking. We have no choice now but to consider the safety of this vessel and the remainder of the crew. We're leaving. All decks prepare for hyperdrive. Time warp factor. "
"316","TYLER:Mister Spock, the ship's controls have gone dead. "
"317","(The lights go out)"
"318","SPOCK:Engine room! "
"319","GARISON:Open. "
"320","SPOCK:Mister Spock here. Switch to rockets. We're blasting out.  PITCAIRN [OC]: All systems are out, bridge. We've got nothing. "
"321","TYLER:There's nothing. Every system aboard is fading out."
"322","[Pike's cell]  (The group are apparently dozing when the Magistrate opens the hatch to get the laser pistols Pike dropped there. He grabs him and pulls him into the cage, and starts to throttle him)"
"323","PIKE:Now you hold still, or I'll break your neck."
"324","VINA:Don't hurt them. They don't mean to be evil."
"325","PIKE:I've had some samples of how good they are."
"326","(the Talosian appears to be a vicious monster)"
"327","PIKE:You stop this illusion, or I'll twist your head off. (it stops) All right, now you try one more illusion, you try anything at all, and I'll break your neck."
"328","MAGISTRATE:Your ship. Release me or we'll destroy it. {Bridge]"
"329","(The senior officers have taken the navigation console apart)"
"330","SPOCK:Nothing. But for the batteries we'd lose gravitation and oxygen."
"331","TYLER:The computers! "
"332","(The monitor shows a montage of images - space capsules, the Moon, maps of Earth)"
"333","TYLER:I can't shut it off. It's running through our library. Tapes, micro-records, everything. It doesn't make sense. "
"334","SPOCK:Could be we've waited too long. It's collecting all the information stored in this fly. They've decided to swat us. "
"335","[Pike's cell]"
"336","VINA:He's not bluffing, Captain. With illusion they can make your crew work the wrong controls or push any button it takes to destroy your ship."
"337","PIKE:I'm going to gamble you're too intelligent to kill for no reason at all. "
"338","(Pike hands the Magistrate over to Number One and picks up the laser pistols, firing them at the glass wall. Then he puts one to the Magistrate's head)"
"339","PIKE:On the other hand, I've got a reason. I'm willing to bet you've created an illusion this laser is empty. I think it just blasted a hole in that window and you're keep us from seeing it. You want me to test my theory out on your head?"
"340","(There is a hole in the window)"
"341","COLT:Captain. "
"342","(They all leave through the hole and get into the elevator to the surface)"
"343","[Planet surface]"
"344","(The top of the rocky knoll is split apart)"
"345","PIKE:Make contact, Number One."
"346","ONE:They kept us from seeing this, too. We cut through and never knew it. Captain."
"347","(The communicator isn't working)"
"348","MAGISTRATE:As you see, your attempt to escape accomplished nothing."
"349","PIKE:I want to contact our ship."
"350","MAGISTRATE:You are now on the surface where we wished you to be. With the female of your choice, you will now begin carefully guided lives."
"351","PIKE:And start by burying you?"
"352","MAGISTRATE:That is your choice. To help you reclaim the planet's surface, our zoological gardens will furnish a variety of plant life."
"353","PIKE:Look, I'll make a deal with you. You and your life for the lives of these two Earth women. "
"354","MAGISTRATE:Since our lifespan is many times yours, we have time to evolve you into a society trained to serve as artisans, technicians "
"355","PIKE:Do you understand what I'm saying? You give me proof that our ship is all right, send these two back, and I'll stay with Vina."
"356","(Number One sets her laser pistol to overload)"
"357","ONE:It's wrong to create a whole race of humans to live as slaves."
"358","MAGISTRATE:Is this a deception? Do you intend to destroy yourselves?"
"359","VINA:What is that?"
"360","PIKE:The weapon is building up an overload. A force chamber explosion. You still have time to get underground. Well, go on! (pushes Vina away) Just to show you how primitive humans are, Talosian, you go with her."
"361","VINA:If, if you all think it's this important, then I can't go either. I suppose if they have one human being, they might try again. "
"362","(More Talosians arrive)"
"363","PIKE:Wait."
"364","(Number One turns off the pistol)"
"365","TALOSIAN:Their method of storing records is crude and consumed much time. Are you prepared to assimilate it?"
"366","(The Magistrate nods, and the veins on his head throb)"
"367","MAGISTRATE:We had not believed this possible. The customs and history of your race show a unique hatred of captivity. Even when it's pleasant and benevolent, you prefer death. This makes you too violent and dangerous a species for our needs."
"368","VINA:He means that they can't use you. You're free to go back to the ship."
"369","PIKE:And that's it? No apologies? You captured one of us, threatened all of us."
"370","TALOSIAN:Your unsuitability has condemned the Talosian race to eventual death. Is this not sufficient?"
"371","MAGISTRATE:No other specimen has shown your adaptability. You were our last hope."
"372","PIKE:But wouldn't some form of trade, mutual co-operation? "
"373","MAGISTRATE:Your race would learn our power of illusion and destroy itself too."
"374","ONE:Captain, we have transporter control now."
"375","PIKE:Let's get back to the ship."
"376","VINA:I can't. I can't go with you."
"377","[Transporter room]"
"378","PITCAIRN:Sir, it just came on. We can't shut the power off."
"379","SPOCK:Mister Spock here. TYLER [OC]: All power has come on, Mister Spock. The helm is answering to control."
"380","(The transporter platforms light up and first Colt, then Number One are beamed aboard)"
"381","GARISON:The captain?"
"382","[Planet surface]"
"383","(Vina changes into a scarred, misshapen older woman)"
"384","VINA:You see why I can't go with you."
"385","MAGISTRATE:This is the female's true appearance."
"386","VINA:They found me in the wreckage, dying. A lump of flesh. They rebuilt me. Everything works. But they had never seen a human. They had no guide for putting me back together."
"387","MAGISTRATE:It was necessary to convince you her desire to stay is an honest one."
"388","PIKE:You'll give her back her illusion of beauty? "
"389","MAGISTRATE:And more. "
"390","(Beautiful Vina and happy Pike go up the slope and into the elevator)"
"391","MAGISTRATE:She has an illusion and you have reality. May you find your way as pleasant. "
"392","[Transporter room]"
"393","PITCAIRN:Mister Spock, the system is coming on again. "
"394","(Pike is beamed aboard)"
"395","COLT:What's happened to Vina? "
"396","ONE:Isn't she coming with us?"
"397","PIKE:No. No, and I agreed with her reasons."
"398","[Bridge]"
"399","(Pike, Number One and Spock enter)"
"400","BOYCE:Hold on a minute. "
"401","PIKE:Oh, I feel fine, just fine. "
"402","BOYCE:You look a hundred percent better. "
"403","PIKE:You recommended a rest, a change of pace, didn't you? I've even been home. Does that make you happy? "
"404","(He bumps into Colt again)"
"405","PIKE:Yeoman. "
"406","COLT:Yes, sir. "
"407","PIKE:I thought I told you that when I'm on the bridge I "
